zts1e	Entraînement pour aventurier novice
zts135e	Chasse des lion-loups violents.
zts136e	Chasse des araignées fortes.
zts137e	Chasse de grandes araignées venimeuses.
zts138e	Chasse des souffleurs furieux.
zts139e	Chasse des cochons forts.
zts140e	Brise des ruches dangereuses.
zts141e	Chasse des reines des abeilles dangereuses.
zts142e	Chasse de grandes guêpes.
zts143e	Chasse des wigglers furieux.
zts144e	Chasse des souffleurs violents !
zts145e	Bataille catsy
zts146e	Chasse des sorcières obscures faibles.
zts147e	Chasse des sorcières sanglantes !
zts148e	Chasse des sorcières obscures.
zts149e	Chasse des sorcières sanglantes fortes.
zts150e	Chasse des sorcières funestes faibles.
zts151e	Chasse des sorcières funestes.
zts152e	Chasse des sorcières obscures fortes !
zts153e	Chasse des sorcières funestes fortes.
zts154e	Anéantis des morts-vivants !
zts155e	Chasse des combattants squelettiques faibles.
zts156e	Chasse de vieilles ombres nocturnes.
zts157e	Chasse des golems de lave faibles.
zts158e	Chasse des guerriers squelettiques.
zts159e	Chasse des golems de lave.
zts160e	Chasse des ombres nocturnes.
zts161e	Chasse des combattants squelettiques faibles.
zts162e	Chasse des golems de lave forts.
zts163e	Chasse d'anciennes ombres nocturnes.
zts164e	Chasse des crânes agacés.
zts165e	Chasse des golems de lave furieux.
zts166e	Chasse des crânes maudits.
zts167e	Chasse des ombres nocturnes tristes.
zts168e	Chasse des crânes furieux.
zts169e	Chasse des golems de lave violents.
zts170e	Chasse des ombres nocturnes mélancoliques.
zts171e	Malcolm Mix te demande de récupérer des objets.
zts172e	Collecte des queues de renard.
zts173e	Récupère des épines de hamster.
zts174e	Récupère de la laine.
zts175e	Ramasse des mandragores.
zts176e	Ramasse des graines de dander.
zts177e	Récolte des feuilles de seedle.
zts178e	Ramasse de petits haricots.
zts179e	Chasse des jellys et récupère des cubys rouges.
zts180e	Ramasse des cornes de diablotin.
zts181e	Récupère des sphères de vampie.
zts182e	Élimine des marcheurs, des Koarens et des Kenkos et récupère des fragments de verre verts.
zts183e	Élimine des gargs et récupère des fragments de verre rouges.
zts184e	Récupère des fourrures de loup.
zts185e	Récupère des carapaces de tortue.
zts186e	Récupère des toiles d'araignée.
zts187e	Chasse des crânes, des golems de lave ainsi que des ombres nocturnes et récupère des perles des ténèbres.
zts188e	Donne une couverture à Pyjama.
zts189e	Récupère de la laine pour faire une couverture.
zts190e	Donne un coussin à Pyjama.
zts191e	Récupère des plumes de poules furieuses.
zts192e	Parle avec la fée Pyjama.
zts193e	Tu as récupéré toutes les plumes. Retourne voir la fée Pyjama.
zts194e	Donne un lit à Pyjama.
zts195e	Ramasse 40 morceaux de bois de qualité mineure.
zts196e	Donne un matelas à Pyjama.
zts197e	Chasse des jellys et ramasse des cubys bleus.
zts198e	Parle avec la fée Pyjama.
zts199e	La matelas est fabriqué. Apporte-le à la fée Pyjama.
zts200e	Accomplis la mission d'espace-temps que la fée Pyjama t'a confiée.
zts201e	Quelle aventure t'attend ?
zts202e	Parle avec l'impertinente fée Pyjama.
zts203e	Roulé par Pyjama ! C'est impardonnable !
zts204e	Trouve le coeur du roi de poussière affaibli.
zts205e	Entre dans la pierre d'espace-temps et trouve le coeur du roi poussière affaibli.
zts206e	Retourne à la gemme d'âme.
zts207e	Tu as trouvé le coeur ! Retourne parler à la gemme d'âme.
zts208e	Trouve l'os du roi poussière affaibli.
zts209e	Entre dans la pierre d'espace-temps et trouve l'os du roi poussière affaibli.
zts210e	Retourne à la gemme d'âme.
zts211e	Tu as trouvé une étrange épée au lieu d'un os. Retourne sur tes pas et fais un rapport sur ce que tu as trouvé.
zts212e	Anéantis le roi poussière affaibli.
zts213e	C'est le dernier chapitre d'une longue querelle. Entre dans la pierre d'espace-temps.
zts214e	Parle à la gemme d'âme.
zts215e	Tu as vaincu le roi poussière affaibli. Reprends le dialogue.
zts216e	Ramasse des lys.
zts217e	Ramasse 100 lys et chasse des monstres de même niveau.
zts218e	Tu as ramassé tous les lys. Retourne à la gemme d'âme.
zts219e	Calme le Mage sacré.
zts220e	Poursuis l'assassin.
zts221e	Chasse l'assassin et entre dans l'espace-temps.
zts222e	Protège le ninja.
zts223e	Protège le ninja après être entré dans l'espace-temps par la gemme d'âme.
zts224e	Retourne à la gemme d'âme.
zts225e	Tu as réussi à protéger le ninja. Fais maintenant demi-tour.
zts226e	Malentendu et vérité
zts227e	Entre dans la pierre d'espace-temps.
zts228e	Raconte la vérité au ninja.
zts229e	Évènement d'ouverture du NosMall !
zts230e	Chasse des monstres de niveau identique ou supérieur et récupère des ballons.
zts231e	Secret du labo
zts232e	À l'aide d'un morceau d'espace-temps (labo), accède au 1er espace-temps caché du labo.
zts233e	À l'aide d'un morceau d'espace-temps (labo), accède au 2e espace-temps caché du labo.
zts234e	À l'aide d'un morceau d'espace-temps (labo), accède au 3e espace-temps caché du labo.
zts235e	Fais face à l'attaque du gardien avec la lettre d'adieu de Radal au 3e étage.
zts236e	Confronte Radal.
zts238e	Entraînement pour débutant
zts240e	Sers-toi de tes compétences pour capturer une poule.
zts241e	Élimine une seedle faible à l'aide de ton NosMate.
zts242e	Va voir Calvin Coach pour exercer tes compétences.
zts244e	Va voir l'alchimiste Malcolm Mix.
zts245e	Va voir Théoman Topp à l'armurerie.
zts246e	Va au marché de NosVille pour t'acheter à manger.
zts247e	L'aventure de la pierre d'espace-temps
zts248e	Rends-toi à la pierre d'espace-temps au nord de la ville.
zts249e	Va patrouiller dans la Plaine de NosVille.
zts250e	Mesures préventives contre les maladies infectieuses
zts251e	Écarte la cause de la terrible maladie infectieuse.
zts252e	Écarte la cause de la terrible maladie infectieuse.
zts253e	Éradique la terrible maladie infectieuse.
zts254e	Mort-vivant fort
zts255e	Anéantis des morts-vivants.
zts256e	Rends-toi à NosVille et fais ton rapport au garde Sam.
zts257e	Exécute la mission du garde Jim !
zts258e	Fais ton rapport au garde Jim.
zts260e	Suis la flèche et découvre ce qui se trame ici.
zts261e	Quelque chose cloche par ici. Va parler à Mimi Mentor.
zts262e	À l'aide de l'outil, fabrique un collier en or affiné.
zts263e	Parle à Soraya Style, l'experte en accessoires.
zts264e	Apporte le panier-repas à Calvin Coach.
zts265e	Va découvrir ce que veut Malcolm Mix.
zts267e	Parle à Malcolm Mix.
zts268e	Va voir Eva Energy au marché de NosVille.
zts269e	Récupère 5 petits pois pour Eva Energy.
zts270e	Apporte tous les ingrédients à Eva Energy.
zts271e	Une ombre menaçante plane sur NosVille
zts272e	Arrête les monstres dans la plaine NosVille.
zts273e	Chasse des créatures en fuite pour sécuriser la région.
zts274e	La région est sécurisée. Retourne à NosCamp.
zts275e	Retourne voir Mimi Mentor dès que tu auras fini tous les préparatifs.
zts276e	Procure-toi les objets nécessaires.
zts277e	Élimine des monstres dans la Prairie des mines.
zts278e	Kovolt dans la mine
zts281e	Tu as trouvé tous les marteaux. Retourne parler à Mudog, le manager des mines.
zts282e	Apporte les marteaux à Théoman Topp.
zts283e	Passe voir Mimi Mentor.
zts284e	Va chercher ta prochaine mission auprès de Mudog, le manager des mines.
zts285e	Va chercher ta prochaine mission auprès de Mudog, le manager des mines.
zts286e	Explore la région que les mineurs t'ont indiquée.
zts287e	Retourne au village et fait ton rapport à Mimi Mentor.
zts288e	Procure-toi des chaussures d'Aventurier et apporte-les à Malcolm Mix.
zts289e	Protège l'oncle de Malcolm Mix dans la Mine ouest 1.
zts290e	Utilise le masque de Kovolt pour découvrir le plan des Kovolts.
zts291e	Grève générale des Kovolts
zts292e	Va informer Mudog, le manager des mines, de la grève des Kovolts.
zts293e	Mets un terme à la grève des Kovolts.
zts294e	Retourne parler à Mudog, le manager des mines.
zts295e	Observe ce qui se trame au piquet de grève des Kovolts.
zts296e	Fais part à Mimi Mentor des revendications des Kovolts.
zts297e	Va chasser des monstres en attendant la réponse de Lord Cuarry.
zts298e	Écoute ce que Mimi a à dire.
zts299e	Nouvelle rencontre
zts301e	Va contrôler les bruits étranges qui se font entendre dans la Prairie des mines.
zts302e	Inspecte les alentours.
zts303e	Va chercher l'arme de la garde auprès de Théoman Topp.
zts304e	Retourne à l'endroit où les troupes se sont rassemblées.
zts305e	Demande à Calvin Coach de traduire l'ardoise noire.
zts307e	Élimine les monstres qui sillonnent encore la région.
zts308e	Retrouve Bob pour partir à la chasse aux monstres avec lui.
zts309e	Fais ton rapport à Mudog, le manager des mines.
zts310e	Élimine les Kovolts dans la Mine ouest 2.
zts311e	Fais ton rapport à Mudog, le manager des mines.
zts312e	Protège Krispo, le manager des mines.
zts313e	Allie-toi aux gardes pour éliminer la troupe principale des Kovolts.
zts314e	Ennemi invincible
zts316e	Va voir Eva Energy pour en savoir plus sur les fées.
zts317e	Va parler à Slugg.
zts319e	Découvre pourquoi des monstres déferlent sans cesse.
zts320e	Informe les habitants de NosCamp au sujet du gargs sombre.
zts321e	Transmets les nouvelles au chevalier Pinto.
zts322e	Garde suspect
zts323e	Trouve le capitaine Lance dans la plaine ensoleillée.
zts324e	Sers le petit-déjeuner au capitaine Lance.
zts325e	Monte la garde pendant que le capitaine Lance mange.
zts326e	Trouve le paquet à cigarettes du capitaine Lance.
zts328e	Demande aux chevaliers pintos où se trouve Tom.
zts329e	Interroge Calvin Coach sur la carte.
zts331e	Apporte à Théodor Topp ce qu'il a demandé.
zts332e	Capture les animaux que Théodor Topp demande.
zts333e	Interroge Théodor Topp sur le rendez-vous secret.
zts334e	Va au point de rendez-vous des chevaliers.
zts335e	Rival
zts337e	Interroge Malcolm Mix sur le parfum de chasse.
zts338e	Récolte de l'herbe odorante dans la Plaine de NosVille.
zts340e	Récupère des fleurs mandragores sur des mandragores herbues.
zts341e	Demande à Malcolm Mix de te créer un parfum de chasse.
zts342e	Apporte le parfum de chasse à Théodor Topp.
zts345e	Suis Tom.
zts346e	Va voir Jerico.
zts347e	Élimine les monstres des environs.
zts348e	Trouve les gardes.
zts349e	Va voir Jerico pour t'entraîner avec lui.
zts350e	Montre à Jerico ta motivation sans faille.
zts351e	Traverse le premier portail.
zts352e	Va parler à Jerico.
zts353e	Va retrouver Tom et provoque-le en duel.
zts354e	Raconte à Jerico comment s'est passé ton duel contre Tom.
zts355e	Tempête grise
zts356e	Retourne à NosCamp.
zts357e	Récolte un peu de blé dans la plaine ensoleillée.
zts358e	Récolte quelques mandragores pour en faire du poison.
zts359e	Procure-toi un peu de minerai de fer auprès de Mudog, le manager des mines.
zts360e	Procure-toi un peu de minerai de fer de la Mine ouest 1.
zts362e	Va faire ton rapport à Mimi Mentor.
zts363e	Pars pour la plaine ensoleillée et prépare-toi à combattre les Kovolts.
zts364e	Rejoins la bataille contre les Kovolts.
zts365e	Raconte à NosCamp ce que tu as découvert.
zts366e	Rends-toi au camp de défense de l'Entrée de Fernon et informe le garde en chef Ray Ramos de la situation actuelle.
zts367e	Bats-toi contre les soldats kovolts.
zts368e	Va annoncer au camp de défense que la mission est accomplie.
zts370e	Remous de la guerre
zts372e	Cherche les chevaliers.
zts373e	Retire les troncs d'arbre du chemin.
zts374e	Va au point de rendez-vous des chevaliers.
zts375e	Apporte le document au général des chevaliers de Ramos.
zts376e	Répands la poudre magique sur la tablette rouge brisée.
zts377e	Les Koarens attaquent à nouveau ! Contre-les !
zts378e	Rends-toi au camp de défense.
zts379e	Tente d'exécuter l'ordre confié par le général des chevaliers de Ramos.
zts380e	Accepte l'offre de Théodor Topp.
zts381e	Va à la Prairie des mines.
zts383e	Retourne à la Prairie des mines.
zts384e	Parle au général des chevaliers de Ramos.
zts385e	Ami et ennemi
zts386e	Prends part au combat.
zts388e	Découvre si Théodor Topp dispose du sceau.
zts389e	Apporte les épées au général des chevaliers de Ramos.
zts390e	Informe le capitaine des chevaliers de Ramos des dernières nouvelles au sujet des démons.
zts391e	Sécurise la voie par laquelle les chevaliers comptent attaquer.
zts392e	Retourne au camp de défense.
zts393e	Retourne à NosCamp.
zts395e	Amasse l'argent pour Théodor Topp.
zts396e	Procure-toi le rubis rouge.
zts399e	Obtiens des informations dans le camp ennemi.
zts400e	Délivre l'information à NosCamp.
zts401e	Transmets l'information au camp de défense.
zts402e	Décime les ennemis dans leur propre camp.
zts403e	Fais un rapport au camp de défense.
zts404e	Désunion et trahison
zts405e	Chasse Korrkoaren.
zts406e	Trouve Korrkoaren sur le Sentier envoûté.
zts408e	Chasse de petits danders.
zts409e	Chasse des danders.
zts410e	Capture un laineux heureux.
zts411e	Ramasse des fruits rouges dans l'espace-temps de la Plaine de NosVille (niveau 10).
zts412e	Va trouver Mudog, le manager des mines, à l'entrée de la mine.
zts413e	Retrouve le marteau en bois égaré dans l'espace-temps le plus proche.
zts414e	Va te procurer un peu de minerai auprès des mineurs kovolts.
zts415e	Va chercher une pioche auprès des mineurs kovolts.
zts416e	Aide les gardes à contrer l'attaque des monstres.
zts417e	Explore la plaine ensoleillée.
zts418e	Va voir Tom.
zts419e	Va parler à Théoman Topp.
zts420e	Capture un fouineur à l'entrée de la Mine nord !
zts421e	Suis la flèche !
zts422e	Parle à Calvin Coach !
zts423e	Parle à Mimi Mentor !
zts424e	Interroge Malcolm Mix au sujet des matériaux et documents collectés.
zts425e	Apporte le rubis rouge à Théodor Topp.
zts426e	Passe la 2e porte !
zts427e	Passe la 3e porte !
zts428e	Rends-toi à la Mine nord pour combattre les Kovolts.
zts429e	Remets le paquet de cigarettes.
zts430e	Remplis le flacon vide au puits de la Prairie des mines.
zts431e	Élimine le slade flambant de la Mine désertée 1.
zts432e	Demande conseil à Théodor Topp.
zts433e	Obtiens un petit rubis rouge dans la pierre d'espace-temps du niveau 37.
zts434e	Suis la flèche dans la Plaine de NosVille !
zts435e	Va parler au garde Jim !
zts436e	Va parler à Théoman Topp !
zts437e	Va parler à Eva Energy !
zts438e	Rattrape les Koarens !
zts439e	Reçois une leçon de combat contre les soldats kenkos.
zts440e	Demande à Malcolm Mix s'il sait quelque chose en particulier.
zts441e	Cherche un nouvel indice !
zts442e	Demande à Malcolm Mix s'il peut traduire les inscriptions de l'ardoise noire.
zts443e	Rends-toi dans le repère du chien de l'enfer.
zts444e	Procure-toi le collier d'un chien de l'enfer.
zts445e	Cherche la statue kovolt dans la Mine désertée 1.
zts446e	Parle au servant démon !
zts447e	Procure-toi des moustaches de taupe sur des taupes.
zts448e	Rends-toi sur le lieu où se retrouvent les Koarens et les Kenkos.
zts449e	À la recherche d'un trésor mystérieux
zts450e	Apporte les ingrédients magiques à Malcolm Mix.
zts451e	À la recherche d'un nouveau trésor
zts452e	Apporte les ingrédients à Eva Energy.
zts453e	Va t'informer auprès de Slugg au sujet du trésor.
zts458e	Apporte le super ensemble à Slugg.
zts460e	Apporte le trésor à Mimi Mentor.
zts461e	Rends-toi dans la pièce isolée au 1er étage du temple.
zts462e	Délivre l'espion koaren prisonnier.
zts463e	Nouvelle alliance
zts465e	Rapporte ce qui est arrivé aux espions koarens !
zts466e	Élimine les Kenkos et récupère un échantillon.
zts468e	Protège l'unité des Koarens !
zts469e	Demande conseil à Malcolm Mix !
zts470e	Aspire l'énergie d'un soldat kenko avec l'entonnoir aspirant.
zts471e	Rends-toi dans la Tour du sorcier abandonnée, sur le Sentier envoûté, près du Temple Fernon.
zts472e	Va l'apporter à Malcolm Mix !
zts473e	Glisse-toi à travers les Portes-mystères pour atteindre le camp des Kenkos.
zts477e	Fais ton rapport à l'espion koaren.
zts478e	L'arbre de Fernon
zts479e	Glisse-toi dans la Cachette des Kenkos au Temple Fernon -2.
zts482e	Va interroger Malcolm Mix au sujet du Cercle des ténèbres.
zts483e	Récupère la branche sacrée au Temple Fernon 1.
zts485e	Rends-toi dans le Dédale spiralé E.
zts487e	Coupe le premier flux d'énergie !
zts489e	Coupe le deuxième flux d'énergie !
zts491e	Coupe le troisième flux d'énergie !
zts493e	Coupe le quatrième flux d'énergie !
zts494e	Va au Temple Fernon 10 !
zts495e	Combats l'âme prisonnière !
zts497e	Dépêche-toi de rejoindre le coeur de Fernon !
zts498e	Dépêche-toi de rejoindre les Racines de Fernon !
zts499e	Cherche des taupes dans la Mine désertée 1.
zts500e	Cherche des traces des Koarens sur le chemin.
zts502e	Trouve le trésor dans le Temple Fernon -1.
zts503e	Trouve le 2e trésor !
zts504e	Trouve le 3e trésor !
zts505e	Trouve le 4e trésor !
zts506e	Donne l'échantillon à l'espion koaren.
zts507e	Va à la Falaise rocheuse dans la plaine ensoleillée.
zts508e	Explore le Temple Fernon -1.
zts509e	Rends-toi à la Sortie nord du Temple Fernon -1.
zts510e	Rends-toi à la Sortie est du Temple Fernon -1.
zts511e	Rends-toi à la Sortie ouest du Temple Fernon -1.
zts512e	Va à l'autel sacré de la Tour du sorcier 8.
zts513e	Rends-toi au Temple Fernon -2 pour suivre Kliff.
zts514e	Demande à Kliff comment sceller Fernon.
zts515e	Élimine les diables !
zts516e	Va voir l'espion koaren.
zts517e	Rends-toi sur le Sentier en zigzag dans le Temple Fernon -2.
zts518e	Va chercher l'ambre jaune de Lumière au Temple Fernon 2 ou 3.
zts519e	Va chercher l'ambre jaune d'Obscurité au Temple Fernon 4 ou 5.
zts520e	Va chercher l'ambre jaune d'Eau au Temple Fernon 6 ou 7.
zts521e	Va chercher l'ambre jaune de Feu au Temple Fernon 8 ou 9.
zts522e	Récupère le trésor de Calvin.
zts523e	Quête de Jajamaru
zts524e	Pose des questions au sujet de cette pierre étrange.
zts525e	Commande un immense marteau en fer à Théoman Topp.
zts526e	Apporte les ingrédients à Théoman Topp.
zts527e	Apporte l'immense marteau en fer à Yobby, le mineur expert.
zts528e	Va aider Yobby, le mineur expert, à détruire le morceau de météorite.
zts529e	Chasse les monstres sauvages autour de la météorite.
zts530e	Examine rapidement la pierre tombale.
zts531e	Examine la pierre liée à la vision.
zts532e	Examine la pierre en forme de chapeau.
zts533e	Suis Namaju.
zts534e	Interroge Malcolm Mix sur l'essence d'esprit.
zts535e	Rends-toi auprès d'Eva Energy pour obtenir de la poussière de fées.
zts536e	Remets à Eva Energy les épices pour cuisiner.
zts537e	Donne à Malcolm Mix la poussière de fées.
zts538e	Retourne voir Calvin Coach.
zts539e	Cherche l'épingle à cheveux de Sakura.
zts540e	Utilise le sceau de la princesse Sakura.
zts541e	Transmets la requête à Soraya Style.
zts542e	Récupère l'essence d'esprit.
zts543e	Apporte le cristal des âmes à Soraya Style !
zts544e	Exécute la mission de Soraya Style.
zts545e	Donne les matériaux à Théoman Topp.
zts546e	Tu as récupéré l'essence d'esprit. Retourne voir Soraya Style.
zts547e	Dépêche-toi d'examiner la pierre tombale.
zts601e	Chasse le monstre suivant.
zts602e	Érige un avant-poste de NosCamp sur le Mont Krem.
zts603e	Va parler au chef koaren.
zts604e	Va sur le coteau ouest du mont et lave la statue de l'os brillant avec du jus de fruits.
zts605e	Va sur le coteau est du mont et lave la statue de l'os brillant avec du jus de fruits.
zts606e	Fais ton rapport à Colly au sujet de la statue de l'os brillant cassée.
zts607e	Ramasse de l'argile pour fabriquer une statue.
zts608e	Fabrique une statue !
zts609e	Érige la statue terminée !
zts610e	Fais un rapport sur ton travail.
zts611e	Annonce qu'un NosCamp sera établi.
zts612e	Répare le poste de garde détruit.
zts613e	Plante de la pelouse sur le sol mou près de la ville.
zts614e	Bêche le sol dur !
zts615e	Remets la carte au trésor.
zts616e	Rends-toi au point indiqué sur la carte au trésor et trouve le trésor.
zts617e	Remets le trésor.
zts618e	Va voir Colly !
zts619e	Trouve les dryades de Fernon dans la Cave profonde.
zts620e	Découvre où se trouvent les dryades.
zts621e	Élimine toutes les dryades !
zts622e	Fais un rapport sur les Catsys.
zts623e	Cherche les Catsys !
zts624e	Ne te fais pas attraper par les monstres !
zts625e	Demande où se trouvent les Catsys.
zts626e	Cherche le chemin des Catsys.
zts627e	Kovolts et Catsys
zts628e	Va à la rencontre de l'informateur !
zts629e	Va à la rencontre de la source !
zts630e	Élimine les démons de la Grotte du mont 5.
zts631e	Fais ton rapport au servant démon.
zts632e	Découvre comment fabriquer un chapeau comme le servant démon l'a demandé.
zts633e	Acquiers le pouvoir des cailloutis scintillants.
zts634e	Remets à Annie le cailloutis scintillant.
zts635e	Apporte le matériel à Annie !
zts636e	Récupère les informations !
zts637e	Rends-toi à l'endroit que les Catsys fréquentent souvent.
zts638e	Montre à Annie l'indice et obtiens de nouvelles informations.
zts639e	Rends-toi au Pic du crépuscule sur le Mont Krem.
zts640e	Renseigne-toi sur le masque rouge.
zts641e	Trouve la princesse Catlotte dans la Vallée brumeuse.
zts642e	Élimine les démons dans la Vallée brumeuse.
zts643e	Trouve Catlotte.
zts644e	Demande où se trouve Catlotte.
zts645e	Découvre où se situe la prison souterraine.
zts646e	Apporte à Carven des dents de bêtes récupérées dans l'Antre des esprits.
zts647e	Remets la dent de la bête.
zts648e	Sauve la princesse Catlotte de la prison souterraine dans la Grotte du mont 4.
zts649e	Résurrection des Kenkos
zts650e	Trouve le trésor précieux.
zts651e	Apporte le vase précieux à Annie.
zts652e	Trouve Cenil !
zts653e	Découvre comment résoudre le problème !
zts654e	Transmets le message des Koarens à Cenil.
zts655e	Retourne à la Caverne de NosCamp sur le Mont Krem.
zts656e	Va parler au mage kovolt.
zts657e	Renseigne-toi au sujet des Kenkos.
zts658e	Trouve l'espion kenko dans la Grotte du mont 6.
zts659e	Trouve l'espion kenko dans la Grotte du mont 6.
zts660e	Montre la lettre au chef koaren.
zts661e	Déjoue le plan des Kenkos.
zts662e	La mort des Kenkos
zts663e	Rends-toi à l'Entrée de Fernon pour attraper un fouineur.
zts664e	Renseigne-toi au sujet du parfum de Catlotte.
zts665e	Suis l'odeur jusqu'au Cachot de Shanera 1.
zts666e	Élimine tous les monstres !
zts667e	Cherche Catlotte dans les environs.
zts668e	Cherche Catlotte sans l'aide de Catrisha !
zts669e	Cherche des tapisseries suspectes.
zts670e	Cherche le lieu secret.
zts671e	Calme les sorcières rosépines furieuses.
zts672e	Va inspecter le lieu que la sorcière rosépine t'a indiqué.
zts673e	Trouve des Kenkos.
zts674e	Trouve le sceau de l'autel caché.
zts675e	Empare-toi du marteau d'un tortionnaire de fer.
zts676e	Détruis la statue de l'effroi !
zts677e	Détruis le sceau du Dédale de douleur !
zts678e	Rassemble des diamants noirs !
zts679e	Fais réparer la clé.
zts680e	Va à l'autel caché.
zts681e	Sauve Catlotte et protège le sceau de Fernon.
zts682e	Récupère le filet à fouineurs.
zts683e	Va au lieu indiqué.
zts685e	Relève le défi ! Évaluation de la pierre d'espace-temps !
zts687e	Achève l'espace-temps avec un score supérieur à celui requis (en mode de mission record).
zts688e	Inspecte le Labo secret.
zts689e	Retrouve Annie à NosCamp, au point de ralliement Krem.
zts690e	Va voir le chef koaren.
zts691e	Va voir Annie.
zts692e	Va au Labo secret 1.
zts693e	Termine la pierre d'espace-temps du niveau 76.
